ID,title,image,content,sku,price,salePrice,qtySold,eligibility,nextHigherAssembly,oem,oemPartNumber,tbq
2345,P00042,ACS00042,"Drive Shaft, Starter",35151609c26e,2008.8,,1,"747-200B, 747-200F, 747-200C, 747-300, 747-400, 767-200, 767-300, CF6-45A, CF6-45A2, CF6-50C, CF6-50CA, CF6-50C1, CF6-50C2, CF6-50C2B, CF6-50C2D, CF6-50E, CF6-50E1, CF6-50E2, CF6-80A, CF6-80A1, CF6-8","3505448-3-1 : AIR TURBINE STARTER, 3505448-5-1 : AIR TURBINE STARTER, 384022-1-3 : AIR TURBINE ENG. STARTER, 384022-2-1 : AIR TURBINE ENG. STARTER, 384022-3-1 : AIR TURBINE ENG. STARTER, 38",Honeywell,364435-10,
2346,P00043,ACS00043,"Shaft, Starter Valve",68eb4134876a,1088.26,,3,"CF6-50A, CF6-50C, CF6-50CA, CF6-50C1, CF6-50C2, CF6-50C2B, CF6-50C2D, CF6-50E, CF6-50E1, CF6-50E2, CF6-50E2B","397892-1 : 4"" ? PNEU. SHUTOFF BUTTERFLY VALVE",Honeywell,974209-2,
2347,P00044,ACS00044,Sleeve,6f3c120217bf,309.39,,0,"CFM56-3, CFM56-3B, CFM56-3C","8062series : MAIN ENGINE CONTROL ASSY, 8063 Series : MAIN ENGINE CONTROL ASSY",Woodward Governor,3514-060,
2348,P00049,ACS00049,Roller,34fe21ba9ec4,50.91,,2,"CF6-45A, CF6-45A2, CF6-50C, CF6-50CA, CF6-50C1, CF6-50C2, CF6-50C2B, CF6-50C2D, CF6-50E, CF6-50E1, CF6-50E2, CF6-80C2A1, CF6-80C2A2, CF6-80C2A3, CF6-80C2A5, CFM56-3, CFM56-3B, CFM56-3C","8061series : HYDROMECHANICAL FUEL CONTROL , 8062series : MAIN ENGINE CONTROL ASSY, 8063 Series : MAIN ENGINE CONTROL ASSY",Woodward Governor,3224-041,
2349,P00052,ACS00052,Bearing,3686a49920e8,11.3,,0,"CF6-45A, CF6-45A2, CF6-50C, CF6-50CA, CF6-50C1, CF6-50C2, CF6-50C2B, CF6-50C2D, CF6-50E, CF6-50E1, CF6-50E2, CF6-80C2A1, CF6-80C2A2, CF6-80C2A3, CF6-80C2A5, CFM56-3, CFM56-3B, CFM56-3C","8061series : HYDROMECHANICAL FUEL CONTROL , 8062series : MAIN ENGINE CONTROL ASSY, 8063 Series : MAIN ENGINE CONTROL ASSY",Woodward Governor,1411-324,
2350,P00053,ACS00053,Impeller,d5aefcc29b78,1698.47,,11,"737-100, 737-200, 737-200C, 737-300, 737-400, 737-500",801240-4 : VANEAXIAL FAN,Honeywell,801414-2,
2351,P00054,ACS00054,Turbine Rotor Matched Set,0ea8f8d8bfe3,2187,,0,"747-100, 747-200B, 747-200F, 747-200C, 747SR, 747SP, 747-100B, 747-300, 747-100B SUD","719238-10 : AIR CYCLE MACHINE, 719238-11 : AIR CYCLE MACHINE, 719238-12 : AIR CYCLE MACHINE, 719238-9 : AIR CYCLE MACHINE",Hamilton Sundstrand,753307-3,
2352,P00055,ACS00055,"Liner, Lube Pump",22ecb231f263,619.32,,0,"A310 MODEL 204, A310 MODEL 222, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-605R, A340-211, A340-212, A340-213, A340-311, A340-","727792C : INTEGRATED DRIVE GENERATOR (IDG), 727792D : INTEGRATED DRIVE GENERATOR (IDG), 727792E : INTEGRATED DRIVE GENERATOR (IDG), 727792F : INTEGRATED DRIVE GENERATOR (IDG), 727792G : INT",Hamilton Sundstrand,742140,
2353,P00056,ACS00056,"Liner, Lube Pump",4edbe324a451,1507.56,,0,"A340-211, A340-212, A340-213, A340-311, A340-312, A340-313, A340-541, A340-642",752157 : INTEGRATED DRIVE GENERATOR (IDG),Hamilton Sundstrand,753549,
2354,P00057,ACS00057,Gear Shaft,91a1bfe56f4b,1608.37,,0,"A340-211, A340-212, A340-213, A340-311, A340-312, A340-313, A340-541, A340-642","752157B : INTEGRATED DRIVE GENERATOR (IDG), 752157C : INTEGRATED DRIVE GENERATOR (IDG), 752157D : INTEGRATED DRIVE GENERATOR (IDG)",Hamilton Sundstrand,753524,
2355,P00058,ACS00058,Gear Shaft,e24692674da1,1754.68,,0,"A340-211, A340-212, A340-213, A340-311, A340-312, A340-313, A340-541, A340-642","752157B : INTEGRATED DRIVE GENERATOR (IDG), 752157C : INTEGRATED DRIVE GENERATOR (IDG), 752157D : INTEGRATED DRIVE GENERATOR (IDG)",Hamilton Sundstrand,753516,
2356,P00065,ACS00065,"Cross Pin, U-Joint (Med)",2bb752580112,170.04,,0,"737-300, 737-400, 737-500","65C27501-1 : T.E FLAP DRIVE TRANSMISSION, 65C27501-2 : T.E FLAP DRIVE TRANSMISSION, 65C27501-3 : T.E FLAP DRIVE TRANSMISSION, 65C27508-1 : T.E FLAP DRIVE TRANSMISSION, 65C27508-2 : T.E FLAP",Boeing,69-60056-2,
2357,P00068,ACS00068,"Bolt, U-Joint (Lg)",02303699e57a,239.62,,0,"737-300, 737-400, 737-500","65C27502-3 : T.E FLAP DRIVE TRANSMISSION, 65C27502-4 : T.E FLAP DRIVE TRANSMISSION, 65C27502-5 : T.E FLAP DRIVE TRANSMISSION, 65C27507-3 : T.E FLAP DRIVE TRANSMISSION, 65C27507-4 : T.E FLAP",Boeing,69-73606-1,
2358,P00069,ACS00069,"Cross Pin, U-Joint (Lg)",0afc8e83e8b4,268.8,,0,"737-300, 737-400, 737-500","65C27502-3 : T.E FLAP DRIVE TRANSMISSION, 65C27502-4 : T.E FLAP DRIVE TRANSMISSION, 65C27502-5 : T.E FLAP DRIVE TRANSMISSION, 65C27507-3 : T.E FLAP DRIVE TRANSMISSION, 65C27507-4 : T.E FLAP",Boeing,69-73607-1,
2359,P00070,ACS00070,"Spacer, U-Joint (Lg)",ad6ed4bc42b3,247.97,,0,"737-300, 737-400, 737-500","65C27502-3 : T.E FLAP DRIVE TRANSMISSION, 65C27502-4 : T.E FLAP DRIVE TRANSMISSION, 65C27502-5 : T.E FLAP DRIVE TRANSMISSION, 65C27507-3 : T.E FLAP DRIVE TRANSMISSION, 65C27507-4 : T.E FLAP",Boeing,69-73608-1,
2360,P00074,ACS00074,"Screw, Socket Head",e7d497956f5b,75.24,,0,"727 SERIES, 727-100 SERIES, 727-100C SERIES, 727-200 SERIES, 727-200F SERIES, 737-100, 737-200, 737-200C, 737-300, 737-400, 737-500, 737-700, 737-800, 737-600, 737-700C, 737-900, 737-900ER, 747-100,","57186-05 : PUMP MOTOR PACKAGE, 57186-06 : PUMP MOTOR PACKAGE, 57186-07 : PUMP MOTOR PACKAGE, 57186-10 : PUMP MOTOR PACKAGE",Parker Hannifin,62080-03,
2361,P00075,ACS00075,Sleeve (IDG),c4cfb067cd1e,695.71,,0,"A319-111, A319-112, A319-113, A319-114, A319-115, A319-131, A319-132, A319-133, A320-111, A320-211, A320-212, A320-214, A320-231, A320-232, A320-233, A321-111, A321-112, A321-131, A321-211, A321-231,","740119 : INTEGRATED DRIVE GENERATOR (IDG), 766219 : INTEGRATED DRIVE GENERATOR (IDG)",Hamilton Sundstrand,749588,
2362,P00076,ACS00076,Gland Nut,72c90a9588cb,10000,,0,"737-300, 737-400, 737-500, 737-700, 737-800, 737-600, 737-700C, 757-200, 737-8, 737-900, 737-900ER","315A1800-4 : THRUST REVERSER NON-LOCKING ACTUATOR, 315A1800-5 : THRUST REVERSER NON-LOCKING ACTUATOR, 315A1800-6 : THRUST REVERSER NON-LOCKING ACTUATOR, 315A1800-7 : THRUST REVERSER NON-LOCKI",Boeing,315A1866-2,1
2363,P00078,ACS00078,"Pin, Shear",e89b095e8cb3,20.38,,4,"A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-",,Ratier-Figeac,FE127-100-04,
2364,P00079,ACS00079,Diaphragm,582f6b14501b,5.64,,3,"A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-",,Ratier-Figeac,FE240-221-001,
2365,P00080,ACS00080,"Ring, Retaining",709c8eb43108,35.64,,2,"A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-","729714 : INTEGRATED DRIVE GENERATOR (IDG), 739515 : INTEGRATED DRIVE GENERATOR (IDG), 740119 : INTEGRATED DRIVE GENERATOR (IDG), 752157 : INTEGRATED DRIVE GENERATOR (IDG), 766219 : INTEGRAT",Hamilton Sundstrand,5907508,
2366,P00081,ACS00081,"Ring, Retaining, Locking",f71382581f82,66.93,,7,"A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-","727792C : INTEGRATED DRIVE GENERATOR (IDG), 727792D : INTEGRATED DRIVE GENERATOR (IDG), 727792E : INTEGRATED DRIVE GENERATOR (IDG), 727792F : INTEGRATED DRIVE GENERATOR (IDG), 727792G : INT",Hamilton Sundstrand,5909942-1,
2367,P00082,ACS00082,Wave Spring,c5f8f9e4ef11,15.96,,99,"A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-","727792 : INTEGRATED DRIVE GENERATOR (IDG), 729714 : INTEGRATED DRIVE GENERATOR (IDG), 729825 : INTEGRATED DRIVE GENERATOR (IDG), 735874 : INTEGRATED DRIVE GENERATOR (IDG), 739515 : INTEGRAT",Hamilton Sundstrand,725937,
2369,P00087,ACS00087,Pin,635c4a7fb5bd,217.04,,0,"A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325","FE209-000 : ACTUATOR DOOR EMERGENCY EXIT, FE209-001 : ACTUATOR DOOR EMERGENCY EXIT",Ratier-Figeac,FE209-100-07,
2370,P00089,ACS00089,"Arm, Assembly of",a0c11319bfba,221.07,,0,"A300 MODEL B2-1A, A300 MODEL B2-1C, A300 MODEL B4-2C, A300 MODEL B2K-3C, A300 MODEL B4-103, A300 MODEL B2-203, A300 MODEL B4-203, A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310","978690 : HP BLEED CONTROL VALVE, 978892 : HP BLEED CONTROL VALVE, 979146 : HP BLEED CONTROL VALVE",Honeywell,3163907-1,
2371,P00094,ACS00094,Inner Gland Nut,ca519bde2262,339.7,,0,"A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-605R, A300 MODEL B4-622, A300 MODEL F4-605R, A300 MODEL F4-622R, A300 MODEL C4-605R VARIANT F, A300 MODEL B4-622R",P376A0002 - SPOILER SPEEDBRAKE ACTUATOR,Messier Dowty,P376A0056-00,
2372,P00095,ACS00095,Outer Gland,bec44e2affea,460.4,,0,"A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-605R, A300 MODEL B4-622, A300 MODEL F4-605R, A300 MODEL F4-622R, A300 MODEL C4-605R VARIANT F, A300 MODEL B4-622R",P376A0002 - SPOILER SPEEDBRAKE ACTUATOR,Messier Dowty,P376A0057-01,
2373,P00096,ACS00096,"Shaft, Anti-Ice Valve",ed794344a5a9,10000,,0,"737-300, 737-400, 737-500",172625-7 : NOSE COWL TAI VALVE,Whittaker Controls,322482,1
2374,P00097,ACS00097,Shaft,8daba464bc69,366.97,,2,"A318-111, A318-112, A319-111, A319-112, A319-113, A319-114, A319-115, A319-131, A319-132, A319-133, A320-111, A320-211, A320-212, A320-214, A320-231, A320-232, A320-233, A321-111, A321-112, A321-131,","172625-5 : NOSE COWL TAI VALVE, 172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE, 324195-1 : PRESSURE ACTUATED BUTTERFLY VALVE, 324425 : SHUTOFF VALVE PARTS, 326975 : ON/OFF",Whittaker Controls,229717,
2375,P00099,ACS00099,Valve Seat,4b03c1f2d8ca,4487.58,,0,"747-100, 747-200B, 747-200F, 747-200C, 747SP, 747-100B, 747-300, 747-100B SUD","227565 : PNEUMATIC BLEED VALVE, 320625 : PNEUMATIC BLEED VALVE",Whittaker Controls,225790,
2376,P00100,ACS00100,Spacer Sleeve,6f7656de3b2d,512.59,,0,"A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325",31059-321 : AIRBRAKE JACK,Lucas Aerospace,340553,
2377,P00101,ACS00101,Spacer,db88c7fe26cc,508.99,,0,"A310 MODEL 204, A310 MODEL 222, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325",31058 : SERVO CONTROL,Lucas Aerospace,340552,
2378,P00103,ACS00103,"Ring, Sealing, Convex",6a72db4954e0,274.81,,121,"747-400, 747-400F, 767-200, 767-300, 767-300F, 767-400ER, CF6-80A, CF6-80A2, CF6-80C2B1, CF6-80C2B2, CF6-80C2B4, CF6-80C2B6, CF6-80C2B1F, CF6-80C2B2F, CF6-80C2B4F, CF6-80C2B6F, CF6-80C2B7F, CF6-80C2B","773857-13 : HPSOV, 773857-6 : HPSOV, 773857-7 : HPSOV, 773857-9 : HPSOV, 790270-1 : HPSOV, 790270-13 : HPSOV, 790270-14 : HPSOV, 790270-15 : HPSOV, 790270-2 : HPSOV, 790270-3 : HP",Hamilton Sundstrand,799737-4,
2379,P00104,ACS00104,Spur Gearshaft,74d89a9babda,305.55,,3,"737-300, 737-400, 737-500, CL-600-2B19 (REGIONAL JET SERIES 100 &amp; 440)","3505188-9 : AIR TURBINE ENGINE STARTER, 3505526-6-1 : AIR TURBINE ENGINE STARTER, 3505526-9-1 : AIR TURBINE ENGINE STARTER, 3505716-3 : AIR TURBINE ENGINE STARTER, 3505716-5 : AIR TURBINE E",Honeywell,3500354-2,
2380,P00105,ACS00105,Filter Cover,56307bf593f5,883.35,,0,"A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-","729714 : INTEGRATED DRIVE GENERATOR (IDG), 729714C : INTEGRATED DRIVE GENERATOR (IDG), 729714D : INTEGRATED DRIVE GENERATOR (IDG), 729714E : INTEGRATED DRIVE GENERATOR (IDG), 729825B : INTE",Hamilton Sundstrand,754980,
2381,P00106,ACS00106,"Shaft, Coupling",cf05cd9f9f3b,10000,,0,"A340-211, A340-212, A340-213, A340-311, A340-312, A340-313","971844 : VARIABLE DISPLACEMENT HYDRAULIC PUMP, 972630 : VARIABLE DISPLACEMENT HYDRAULIC PUMP, 974976 : VARIABLE DISPLACEMENT HYDRAULIC PUMP",Eaton Vickers,861276,1
2382,P00107,ACS00107,Self-Locking Threaded Ring,cabbeea2631b,337.43,,0,CL-600-2B19 (REGIONAL JET SERIES 100 &amp; 440),"782790-11 : AIR CYCLE MACHINE, 782790-13 : AIR CYCLE MACHINE, 782790-15 : AIR CYCLE MACHINE, 782790-9 : AIR CYCLE MACHINE",Hamilton Sundstrand,782147-1,
2386,P00112,ACS00112,"Guide Set, Poppet",980f51aec68f,345.06,,22,"737-300, 737-400, 737-500, 737-700, 737-800, 737-600, 737-900","107484 : HIGH STAGE REGULATOR, ""3289562-4 : 4"""" PRECOOLER CONTROL VALVE"", ""3289562-5 : 4"""" PRECOOLER CONTROL VALVE""",Honeywell,3181768-1,
2387,P00114,ACS00114,Valve Housing,fa5da1078e5a,332.21,,0,"A340-211, A340-212, A340-213, A340-311, A340-312, A340-313, A340-541, A340-642","752157B : INTEGRATED DRIVE GENERATOR (IDG), 752157C : INTEGRATED DRIVE GENERATOR (IDG), 752157D : INTEGRATED DRIVE GENERATOR (IDG)",Hamilton Sundstrand,753504,
2388,P00115,ACS00115,Seal Assy,a46fba7918f4,10000,,0,,"3213868-3 : SHUTOFF REGULATOR VALVE, 3213868-4 : SHUTOFF REGULATOR VALVE, 3289834-1 : SOV, 3289834-4 : SOV, ""898930-10 : 2-1/2"""" PNEU. PRSOV"", ""898930-8 : 2-1/2"""" PNEU. PRSOV""",Honeywell,690281-9,1
2389,P00116,ACS00116,Bushing,3a7653f6e7c0,363.16,,0,"A300 MODEL B2-1A, A300 MODEL B2-1C, A300 MODEL B4-2C, A300 MODEL B2K-3C, A300 MODEL B4-103, A300 MODEL B2-203, A300 MODEL B4-203, A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310","978690-11 : HP BLEED CONTROL VALVE, 978690-4 : HP BLEED CONTROL VALVE, 978690-5 : HP BLEED CONTROL VALVE, 978690-7 : HP BLEED CONTROL VALVE, 978690-8 : HP BLEED CONTROL VALVE, 978690-9 :",Honeywell,3178374-2,
2390,P00127,ACS00127,Shaft,0d346efce662,1094.87,,0,MD-11,6315H0001-01 : ROLLER ASSEMBLY,Eaton Vickers,6315-0113-02,
2391,P00129,ACS00129,"Ring, Seal",b118cccb65e9,503.93,,0,"747-100, 747-200B, 747-200F, 747-200C, 747SP, 747-100B, 747-300, 747-400, 747-400D, 747-400F",767460-1 : FLOW CONTROL &amp; SHUTOFF VALVE,Hamilton Sundstrand,738463-43,
